# snap_directory log_total_column_density(cm^-2) curr_spectrum ion  radius(kpc) gal_R200(kpc) gal_M200(log10(M/10^10*M_sol))
# /cosma5/data/dp004/dc-oppe1/data/L012N0376/data_L012N0376_eagle.NEQ.snap023 14.244 Spectrum0 h1 54.119 81.908 10.851
# velocity_array(km/s) ion_flux optical_depth
-6.090e+01 9.983e-01 1.682e-03
-5.950e+01 9.983e-01 1.699e-03
-5.810e+01 9.983e-01 1.743e-03
-5.670e+01 9.982e-01 1.815e-03
-5.530e+01 9.981e-01 1.917e-03
-5.390e+01 9.980e-01 2.051e-03
-5.250e+01 9.978e-01 2.218e-03
-5.110e+01 9.976e-01 2.422e-03
-4.970e+01 9.973e-01 2.663e-03
-4.830e+01 9.971e-01 2.946e-03
-4.690e+01 9.967e-01 3.273e-03
-4.550e+01 9.964e-01 3.648e-03
-4.410e+01 9.959e-01 4.074e-03
-4.270e+01 9.955e-01 4.556e-03
-4.130e+01 9.949e-01 5.097e-03
-3.990e+01 9.943e-01 5.702e-03
-3.850e+01 9.936e-01 6.376e-03
-3.710e+01 9.929e-01 7.123e-03
-3.570e+01 9.921e-01 7.948e-03
-3.430e+01 9.912e-01 8.856e-03
-3.290e+01 9.902e-01 9.851e-03
-3.150e+01 9.891e-01 1.094e-02
-3.010e+01 9.880e-01 1.212e-02
-2.870e+01 9.867e-01 1.341e-02
-2.730e+01 9.853e-01 1.479e-02
-2.590e+01 9.838e-01 1.629e-02
-2.450e+01 9.823e-01 1.789e-02
-2.310e+01 9.806e-01 1.961e-02
-2.170e+01 9.788e-01 2.144e-02
-2.030e+01 9.769e-01 2.338e-02
-1.890e+01 9.749e-01 2.543e-02
-1.750e+01 9.728e-01 2.758e-02
-1.610e+01 9.706e-01 2.985e-02
-1.470e+01 9.683e-01 3.221e-02
-1.330e+01 9.659e-01 3.467e-02
-1.190e+01 9.635e-01 3.721e-02
-1.050e+01 9.609e-01 3.983e-02
-9.098e+00 9.584e-01 4.253e-02
-7.698e+00 9.557e-01 4.528e-02
-6.298e+00 9.531e-01 4.808e-02
-4.899e+00 9.503e-01 5.093e-02
-3.499e+00 9.476e-01 5.380e-02
-2.099e+00 9.449e-01 5.669e-02
-6.987e-01 9.422e-01 5.958e-02
7.012e-01 9.394e-01 6.247e-02
2.101e+00 9.368e-01 6.534e-02
3.501e+00 9.341e-01 6.817e-02
4.901e+00 9.315e-01 7.097e-02
6.301e+00 9.289e-01 7.372e-02
7.701e+00 9.264e-01 7.640e-02
9.101e+00 9.240e-01 7.901e-02
1.050e+01 9.217e-01 8.153e-02
1.190e+01 9.195e-01 8.395e-02
1.330e+01 9.174e-01 8.625e-02
1.470e+01 9.154e-01 8.843e-02
1.610e+01 9.135e-01 9.046e-02
1.750e+01 9.118e-01 9.233e-02
1.890e+01 9.103e-01 9.401e-02
2.030e+01 9.089e-01 9.549e-02
2.170e+01 9.078e-01 9.675e-02
2.310e+01 9.068e-01 9.778e-02
2.450e+01 9.061e-01 9.855e-02
2.590e+01 9.057e-01 9.907e-02
2.730e+01 9.054e-01 9.932e-02
2.870e+01 9.054e-01 9.933e-02
3.010e+01 9.056e-01 9.911e-02
3.150e+01 9.060e-01 9.869e-02
3.290e+01 9.066e-01 9.810e-02
3.430e+01 9.072e-01 9.738e-02
3.570e+01 9.080e-01 9.655e-02
3.710e+01 9.088e-01 9.564e-02
3.850e+01 9.097e-01 9.466e-02
3.990e+01 9.106e-01 9.363e-02
4.130e+01 9.116e-01 9.256e-02
4.270e+01 9.126e-01 9.148e-02
4.410e+01 9.135e-01 9.044e-02
4.550e+01 9.144e-01 8.948e-02
4.690e+01 9.151e-01 8.867e-02
4.830e+01 9.157e-01 8.805e-02
4.970e+01 9.161e-01 8.765e-02
5.110e+01 9.162e-01 8.752e-02
5.250e+01 9.161e-01 8.768e-02
5.390e+01 9.156e-01 8.816e-02
5.530e+01 9.149e-01 8.899e-02
5.670e+01 9.138e-01 9.018e-02
5.810e+01 9.123e-01 9.177e-02
5.950e+01 9.105e-01 9.377e-02
6.090e+01 9.083e-01 9.618e-02
6.230e+01 9.057e-01 9.901e-02
6.370e+01 9.028e-01 1.023e-01
6.510e+01 8.995e-01 1.059e-01
6.650e+01 8.958e-01 1.101e-01
6.790e+01 8.917e-01 1.147e-01
6.930e+01 8.872e-01 1.197e-01
7.070e+01 8.822e-01 1.253e-01
7.210e+01 8.769e-01 1.314e-01
7.350e+01 8.711e-01 1.379e-01
7.490e+01 8.650e-01 1.451e-01
7.630e+01 8.584e-01 1.527e-01
7.770e+01 8.515e-01 1.607e-01
7.910e+01 8.443e-01 1.693e-01
8.050e+01 8.367e-01 1.783e-01
8.190e+01 8.288e-01 1.877e-01
8.330e+01 8.207e-01 1.976e-01
8.470e+01 8.124e-01 2.078e-01
8.610e+01 8.038e-01 2.184e-01
8.750e+01 7.950e-01 2.294e-01
8.890e+01 7.861e-01 2.407e-01
9.030e+01 7.770e-01 2.523e-01
9.170e+01 7.678e-01 2.642e-01
9.310e+01 7.586e-01 2.763e-01
9.450e+01 7.494e-01 2.885e-01
9.590e+01 7.402e-01 3.008e-01
9.730e+01 7.312e-01 3.131e-01
9.870e+01 7.223e-01 3.254e-01
1.001e+02 7.135e-01 3.376e-01
1.015e+02 7.050e-01 3.496e-01
1.029e+02 6.967e-01 3.614e-01
1.043e+02 6.888e-01 3.729e-01
1.057e+02 6.811e-01 3.840e-01
1.071e+02 6.739e-01 3.947e-01
1.085e+02 6.671e-01 4.049e-01
1.099e+02 6.607e-01 4.144e-01
1.113e+02 6.549e-01 4.233e-01
1.127e+02 6.495e-01 4.315e-01
1.141e+02 6.448e-01 4.389e-01
1.155e+02 6.406e-01 4.454e-01
1.169e+02 6.370e-01 4.510e-01
1.183e+02 6.341e-01 4.556e-01
1.197e+02 6.318e-01 4.592e-01
1.211e+02 6.302e-01 4.618e-01
1.225e+02 6.292e-01 4.633e-01
1.239e+02 6.290e-01 4.636e-01
1.253e+02 6.294e-01 4.629e-01
1.267e+02 6.306e-01 4.611e-01
1.281e+02 6.325e-01 4.581e-01
1.295e+02 6.351e-01 4.540e-01
1.309e+02 6.383e-01 4.489e-01
1.323e+02 6.423e-01 4.426e-01
1.337e+02 6.471e-01 4.353e-01
1.351e+02 6.525e-01 4.270e-01
1.365e+02 6.586e-01 4.177e-01
1.379e+02 6.653e-01 4.075e-01
1.393e+02 6.728e-01 3.963e-01
1.407e+02 6.809e-01 3.844e-01
1.421e+02 6.896e-01 3.717e-01
1.435e+02 6.988e-01 3.584e-01
1.449e+02 7.086e-01 3.445e-01
1.463e+02 7.189e-01 3.301e-01
1.477e+02 7.295e-01 3.153e-01
1.491e+02 7.406e-01 3.003e-01
1.505e+02 7.520e-01 2.851e-01
1.519e+02 7.636e-01 2.698e-01
1.533e+02 7.754e-01 2.544e-01
1.547e+02 7.873e-01 2.392e-01
1.561e+02 7.992e-01 2.242e-01
1.575e+02 8.111e-01 2.094e-01
1.589e+02 8.229e-01 1.949e-01
1.603e+02 8.345e-01 1.809e-01
1.617e+02 8.460e-01 1.673e-01
1.631e+02 8.571e-01 1.542e-01
1.645e+02 8.679e-01 1.417e-01
1.659e+02 8.783e-01 1.298e-01
1.673e+02 8.883e-01 1.185e-01
1.687e+02 8.978e-01 1.078e-01
1.701e+02 9.068e-01 9.778e-02
1.715e+02 9.154e-01 8.842e-02
1.729e+02 9.234e-01 7.972e-02
1.743e+02 9.308e-01 7.167e-02
1.757e+02 9.378e-01 6.425e-02
1.771e+02 9.442e-01 5.743e-02
1.785e+02 9.501e-01 5.118e-02
1.799e+02 9.555e-01 4.549e-02
1.813e+02 9.605e-01 4.032e-02
1.827e+02 9.650e-01 3.565e-02
1.841e+02 9.690e-01 3.145e-02
1.855e+02 9.727e-01 2.767e-02
1.869e+02 9.760e-01 2.429e-02
1.883e+02 9.789e-01 2.128e-02
1.897e+02 9.816e-01 1.861e-02
1.911e+02 9.839e-01 1.624e-02
1.925e+02 9.859e-01 1.416e-02
1.939e+02 9.877e-01 1.235e-02
1.953e+02 9.893e-01 1.076e-02
1.967e+02 9.907e-01 9.378e-03
1.981e+02 9.919e-01 8.170e-03
1.995e+02 9.929e-01 7.113e-03
2.009e+02 9.938e-01 6.186e-03
2.023e+02 9.946e-01 5.375e-03
2.037e+02 9.953e-01 4.670e-03
2.051e+02 9.959e-01 4.062e-03
2.065e+02 9.965e-01 3.543e-03
2.079e+02 9.969e-01 3.107e-03
2.093e+02 9.973e-01 2.747e-03
2.107e+02 9.975e-01 2.457e-03
2.121e+02 9.978e-01 2.231e-03
2.135e+02 9.979e-01 2.064e-03
2.149e+02 9.981e-01 1.946e-03
2.163e+02 9.981e-01 1.871e-03
2.177e+02 9.982e-01 1.828e-03
2.191e+02 9.982e-01 1.808e-03
2.205e+02 9.982e-01 1.805e-03
2.219e+02 9.982e-01 1.813e-03
2.233e+02 9.982e-01 1.832e-03
2.247e+02 9.981e-01 1.861e-03
2.261e+02 9.981e-01 1.902e-03
2.275e+02 9.980e-01 1.957e-03
2.289e+02 9.980e-01 2.026e-03
2.303e+02 9.979e-01 2.109e-03
2.317e+02 9.978e-01 2.202e-03
2.331e+02 9.977e-01 2.300e-03
2.345e+02 9.976e-01 2.397e-03
2.359e+02 9.975e-01 2.494e-03
2.373e+02 9.974e-01 2.591e-03
2.387e+02 9.973e-01 2.687e-03
2.401e+02 9.972e-01 2.779e-03
2.415e+02 9.971e-01 2.860e-03
2.429e+02 9.971e-01 2.921e-03
2.443e+02 9.970e-01 2.956e-03
2.457e+02 9.970e-01 2.964e-03
2.471e+02 9.971e-01 2.947e-03
2.485e+02 9.971e-01 2.913e-03
2.499e+02 9.971e-01 2.866e-03
2.513e+02 9.972e-01 2.808e-03
2.527e+02 9.973e-01 2.735e-03
2.541e+02 9.974e-01 2.647e-03
2.555e+02 9.975e-01 2.540e-03
2.569e+02 9.976e-01 2.417e-03
2.583e+02 9.977e-01 2.285e-03
2.597e+02 9.979e-01 2.151e-03
2.611e+02 9.980e-01 2.024e-03
2.625e+02 9.981e-01 1.910e-03
2.639e+02 9.982e-01 1.811e-03
2.653e+02 9.983e-01 1.726e-03
2.667e+02 9.983e-01 1.651e-03
2.681e+02 9.984e-01 1.583e-03
2.695e+02 9.985e-01 1.515e-03
2.709e+02 9.986e-01 1.445e-03
2.723e+02 9.986e-01 1.367e-03
2.737e+02 9.987e-01 1.280e-03
2.751e+02 9.988e-01 1.185e-03
2.765e+02 9.989e-01 1.089e-03
2.779e+02 9.990e-01 9.986e-04
2.793e+02 9.991e-01 9.200e-04
2.807e+02 9.991e-01 8.547e-04
2.821e+02 9.992e-01 7.992e-04
2.835e+02 9.993e-01 7.468e-04
2.849e+02 9.993e-01 6.919e-04
2.863e+02 9.994e-01 6.324e-04
2.877e+02 9.994e-01 5.706e-04
2.891e+02 9.995e-01 5.112e-04
2.905e+02 9.995e-01 4.586e-04
2.919e+02 9.996e-01 4.149e-04
2.933e+02 9.996e-01 3.803e-04
2.947e+02 9.996e-01 3.536e-04
2.961e+02 9.997e-01 3.331e-04
2.975e+02 9.997e-01 3.173e-04
2.989e+02 9.997e-01 3.048e-04
3.003e+02 9.997e-01 2.942e-04
3.017e+02 9.997e-01 2.846e-04
3.031e+02 9.997e-01 2.753e-04
3.045e+02 9.997e-01 2.662e-04
3.059e+02 9.997e-01 2.576e-04
3.073e+02 9.997e-01 2.502e-04
3.087e+02 9.998e-01 2.441e-04
3.101e+02 9.998e-01 2.394e-04
3.115e+02 9.998e-01 2.355e-04
3.129e+02 9.998e-01 2.318e-04
3.143e+02 9.998e-01 2.279e-04
3.157e+02 9.998e-01 2.236e-04
3.171e+02 9.998e-01 2.188e-04
3.185e+02 9.998e-01 2.136e-04
3.199e+02 9.998e-01 2.081e-04
3.213e+02 9.998e-01 2.027e-04
3.227e+02 9.998e-01 1.978e-04
3.241e+02 9.998e-01 1.942e-04
3.255e+02 9.998e-01 1.923e-04
3.269e+02 9.998e-01 1.925e-04
3.283e+02 9.998e-01 1.949e-04
3.297e+02 9.998e-01 1.991e-04
3.311e+02 9.998e-01 2.047e-04
3.325e+02 9.998e-01 2.112e-04
3.339e+02 9.998e-01 2.180e-04
3.353e+02 9.998e-01 2.249e-04
3.367e+02 9.998e-01 2.320e-04
3.381e+02 9.998e-01 2.396e-04
3.395e+02 9.998e-01 2.481e-04
3.409e+02 9.997e-01 2.576e-04
3.423e+02 9.997e-01 2.686e-04
3.437e+02 9.997e-01 2.812e-04
3.451e+02 9.997e-01 2.954e-04
3.465e+02 9.997e-01 3.110e-04
3.479e+02 9.997e-01 3.273e-04
3.493e+02 9.997e-01 3.430e-04
3.507e+02 9.996e-01 3.571e-04
3.521e+02 9.996e-01 3.687e-04
3.535e+02 9.996e-01 3.783e-04
3.549e+02 9.996e-01 3.873e-04
3.563e+02 9.996e-01 3.987e-04
3.577e+02 9.996e-01 4.158e-04
3.591e+02 9.996e-01 4.418e-04
3.605e+02 9.995e-01 4.784e-04
3.619e+02 9.995e-01 5.255e-04
3.633e+02 9.994e-01 5.807e-04
3.647e+02 9.994e-01 6.401e-04
3.661e+02 9.993e-01 7.007e-04
3.675e+02 9.992e-01 7.614e-04
3.689e+02 9.992e-01 8.237e-04
3.703e+02 9.991e-01 8.903e-04
3.717e+02 9.990e-01 9.634e-04
3.731e+02 9.990e-01 1.044e-03
3.745e+02 9.989e-01 1.131e-03
3.759e+02 9.988e-01 1.225e-03
3.773e+02 9.987e-01 1.325e-03
3.787e+02 9.986e-01 1.431e-03
3.801e+02 9.985e-01 1.541e-03
3.815e+02 9.983e-01 1.656e-03
3.829e+02 9.982e-01 1.774e-03
3.843e+02 9.981e-01 1.895e-03
3.857e+02 9.980e-01 2.018e-03
3.871e+02 9.979e-01 2.138e-03
3.885e+02 9.978e-01 2.250e-03
