# snap_directory log_total_column_density curr_spectrum ion  radius gal_R200 gal_M200
# /cosma5/data/dp004/dc-oppe1/Halo_x001/data_007_x001_eagle.NEQ.snap023restart 15.643 Spectrum11 h1 35.257 176.286 11.849
# velocity_array ion_flux optical_depth
3.924e+02 1.000e+00 3.901e-09
3.938e+02 1.000e+00 3.922e-09
3.952e+02 1.000e+00 3.953e-09
3.966e+02 1.000e+00 3.993e-09
3.980e+02 1.000e+00 4.042e-09
3.994e+02 1.000e+00 4.097e-09
4.008e+02 1.000e+00 4.159e-09
4.022e+02 1.000e+00 4.225e-09
4.036e+02 1.000e+00 4.294e-09
4.050e+02 1.000e+00 4.366e-09
4.064e+02 1.000e+00 4.440e-09
4.078e+02 1.000e+00 4.514e-09
4.092e+02 1.000e+00 4.587e-09
4.106e+02 1.000e+00 4.658e-09
4.120e+02 1.000e+00 4.726e-09
4.134e+02 1.000e+00 4.790e-09
4.148e+02 1.000e+00 4.848e-09
4.162e+02 1.000e+00 4.902e-09
4.176e+02 1.000e+00 4.948e-09
4.190e+02 1.000e+00 4.987e-09
4.204e+02 1.000e+00 5.018e-09
4.218e+02 1.000e+00 5.041e-09
4.232e+02 1.000e+00 5.055e-09
4.246e+02 1.000e+00 5.060e-09
4.260e+02 1.000e+00 5.056e-09
4.274e+02 1.000e+00 5.044e-09
4.288e+02 1.000e+00 5.023e-09
4.302e+02 1.000e+00 4.994e-09
4.316e+02 1.000e+00 4.957e-09
4.330e+02 1.000e+00 4.913e-09
4.344e+02 1.000e+00 4.862e-09
4.358e+02 1.000e+00 4.806e-09
4.372e+02 1.000e+00 4.744e-09
4.386e+02 1.000e+00 4.679e-09
4.400e+02 1.000e+00 4.609e-09
4.414e+02 1.000e+00 4.537e-09
4.428e+02 1.000e+00 4.463e-09
4.442e+02 1.000e+00 4.387e-09
4.456e+02 1.000e+00 4.309e-09
4.470e+02 1.000e+00 4.231e-09
4.484e+02 1.000e+00 4.152e-09
4.498e+02 1.000e+00 4.073e-09
4.512e+02 1.000e+00 3.994e-09
4.526e+02 1.000e+00 3.914e-09
4.540e+02 1.000e+00 3.833e-09
4.554e+02 1.000e+00 3.751e-09
4.568e+02 1.000e+00 3.669e-09
4.582e+02 1.000e+00 3.584e-09
4.596e+02 1.000e+00 3.498e-09
4.610e+02 1.000e+00 3.410e-09
4.624e+02 1.000e+00 3.318e-09
4.638e+02 1.000e+00 3.224e-09
4.652e+02 1.000e+00 3.127e-09
4.666e+02 1.000e+00 3.026e-09
4.680e+02 1.000e+00 2.923e-09
4.694e+02 1.000e+00 2.815e-09
4.708e+02 1.000e+00 2.705e-09
4.722e+02 1.000e+00 2.592e-09
4.736e+02 1.000e+00 2.477e-09
4.750e+02 1.000e+00 2.360e-09
4.764e+02 1.000e+00 2.241e-09
4.778e+02 1.000e+00 2.122e-09
4.792e+02 1.000e+00 2.003e-09
4.806e+02 1.000e+00 1.885e-09
4.820e+02 1.000e+00 1.768e-09
4.834e+02 1.000e+00 1.654e-09
4.848e+02 1.000e+00 1.543e-09
4.862e+02 1.000e+00 1.436e-09
4.876e+02 1.000e+00 1.333e-09
4.890e+02 1.000e+00 1.234e-09
4.904e+02 1.000e+00 1.141e-09
4.918e+02 1.000e+00 1.054e-09
4.932e+02 1.000e+00 9.729e-10
4.946e+02 1.000e+00 8.978e-10
4.960e+02 1.000e+00 8.289e-10
4.974e+02 1.000e+00 7.662e-10
4.988e+02 1.000e+00 7.097e-10
5.002e+02 1.000e+00 6.593e-10
5.016e+02 1.000e+00 6.148e-10
5.030e+02 1.000e+00 5.759e-10
5.044e+02 1.000e+00 5.424e-10
5.058e+02 1.000e+00 5.140e-10
5.072e+02 1.000e+00 4.904e-10
5.086e+02 1.000e+00 4.714e-10
5.100e+02 1.000e+00 4.565e-10
5.114e+02 1.000e+00 4.455e-10
5.128e+02 1.000e+00 4.382e-10
5.142e+02 1.000e+00 4.341e-10
5.156e+02 1.000e+00 4.331e-10
5.170e+02 1.000e+00 4.348e-10
5.184e+02 1.000e+00 4.392e-10
5.198e+02 1.000e+00 4.459e-10
5.212e+02 1.000e+00 4.547e-10
5.226e+02 1.000e+00 4.655e-10
5.240e+02 1.000e+00 4.781e-10
5.254e+02 1.000e+00 4.922e-10
5.268e+02 1.000e+00 5.079e-10
5.282e+02 1.000e+00 5.248e-10
5.296e+02 1.000e+00 5.429e-10
5.310e+02 1.000e+00 5.620e-10
5.324e+02 1.000e+00 5.820e-10
5.338e+02 1.000e+00 6.026e-10
5.352e+02 1.000e+00 6.238e-10
5.366e+02 1.000e+00 6.455e-10
5.380e+02 1.000e+00 6.674e-10
5.394e+02 1.000e+00 6.894e-10
5.408e+02 1.000e+00 7.113e-10
5.422e+02 1.000e+00 7.330e-10
5.436e+02 1.000e+00 7.544e-10
5.450e+02 1.000e+00 7.753e-10
5.464e+02 1.000e+00 7.954e-10
5.478e+02 1.000e+00 8.148e-10
5.492e+02 1.000e+00 8.332e-10
5.506e+02 1.000e+00 8.505e-10
5.520e+02 1.000e+00 8.666e-10
5.534e+02 1.000e+00 8.814e-10
5.548e+02 1.000e+00 8.947e-10
5.562e+02 1.000e+00 9.064e-10
5.576e+02 1.000e+00 9.166e-10
5.590e+02 1.000e+00 9.250e-10
5.604e+02 1.000e+00 9.317e-10
5.618e+02 1.000e+00 9.366e-10
5.632e+02 1.000e+00 9.398e-10
5.646e+02 1.000e+00 9.411e-10
5.660e+02 1.000e+00 9.406e-10
5.674e+02 1.000e+00 9.383e-10
5.688e+02 1.000e+00 9.343e-10
5.702e+02 1.000e+00 9.286e-10
5.716e+02 1.000e+00 9.213e-10
5.730e+02 1.000e+00 9.125e-10
5.744e+02 1.000e+00 9.022e-10
5.758e+02 1.000e+00 8.906e-10
5.772e+02 1.000e+00 8.777e-10
5.786e+02 1.000e+00 8.637e-10
5.800e+02 1.000e+00 8.486e-10
5.814e+02 1.000e+00 8.327e-10
5.828e+02 1.000e+00 8.160e-10
5.842e+02 1.000e+00 7.987e-10
5.856e+02 1.000e+00 7.808e-10
5.870e+02 1.000e+00 7.626e-10
5.884e+02 1.000e+00 7.440e-10
5.898e+02 1.000e+00 7.253e-10
5.912e+02 1.000e+00 7.066e-10
5.926e+02 1.000e+00 6.880e-10
5.940e+02 1.000e+00 6.695e-10
5.954e+02 1.000e+00 6.512e-10
5.968e+02 1.000e+00 6.333e-10
5.982e+02 1.000e+00 6.159e-10
5.996e+02 1.000e+00 5.989e-10
6.010e+02 1.000e+00 5.824e-10
6.024e+02 1.000e+00 5.666e-10
6.038e+02 1.000e+00 5.514e-10
6.052e+02 1.000e+00 5.369e-10
6.066e+02 1.000e+00 5.231e-10
6.080e+02 1.000e+00 5.100e-10
6.094e+02 1.000e+00 4.977e-10
6.108e+02 1.000e+00 4.861e-10
6.122e+02 1.000e+00 4.753e-10
6.136e+02 1.000e+00 4.652e-10
6.150e+02 1.000e+00 4.558e-10
6.164e+02 1.000e+00 4.472e-10
6.178e+02 1.000e+00 4.393e-10
6.192e+02 1.000e+00 4.320e-10
6.206e+02 1.000e+00 4.254e-10
6.220e+02 1.000e+00 4.194e-10
6.234e+02 1.000e+00 4.139e-10
6.248e+02 1.000e+00 4.091e-10
6.262e+02 1.000e+00 4.048e-10
6.276e+02 1.000e+00 4.009e-10
6.290e+02 1.000e+00 3.976e-10
6.304e+02 1.000e+00 3.946e-10
6.318e+02 1.000e+00 3.921e-10
6.332e+02 1.000e+00 3.899e-10
6.346e+02 1.000e+00 3.880e-10
6.360e+02 1.000e+00 3.864e-10
6.374e+02 1.000e+00 3.851e-10
6.388e+02 1.000e+00 3.840e-10
6.402e+02 1.000e+00 3.831e-10
6.416e+02 1.000e+00 3.825e-10
6.430e+02 1.000e+00 3.820e-10
6.444e+02 1.000e+00 3.816e-10
6.458e+02 1.000e+00 3.814e-10
6.472e+02 1.000e+00 3.813e-10
6.486e+02 1.000e+00 3.813e-10
6.500e+02 1.000e+00 3.814e-10
6.514e+02 1.000e+00 3.816e-10
6.528e+02 1.000e+00 3.818e-10
6.542e+02 1.000e+00 3.821e-10
6.556e+02 1.000e+00 3.824e-10
6.570e+02 1.000e+00 3.828e-10
6.584e+02 1.000e+00 3.831e-10
6.598e+02 1.000e+00 3.835e-10
6.612e+02 1.000e+00 3.839e-10
6.626e+02 1.000e+00 3.844e-10
6.640e+02 1.000e+00 3.848e-10
6.654e+02 1.000e+00 3.852e-10
6.668e+02 1.000e+00 3.856e-10
6.682e+02 1.000e+00 3.860e-10
6.696e+02 1.000e+00 3.864e-10
6.710e+02 1.000e+00 3.868e-10
6.724e+02 1.000e+00 3.871e-10
6.738e+02 1.000e+00 3.875e-10
6.752e+02 1.000e+00 3.878e-10
6.766e+02 1.000e+00 3.881e-10
6.780e+02 1.000e+00 3.884e-10
6.794e+02 1.000e+00 3.887e-10
6.808e+02 1.000e+00 3.889e-10
6.822e+02 1.000e+00 3.891e-10
6.836e+02 1.000e+00 3.893e-10
6.850e+02 1.000e+00 3.895e-10
6.864e+02 1.000e+00 3.897e-10
6.878e+02 1.000e+00 3.898e-10
6.892e+02 1.000e+00 3.900e-10
6.906e+02 1.000e+00 3.901e-10
6.920e+02 1.000e+00 3.902e-10
6.934e+02 1.000e+00 3.902e-10
6.948e+02 1.000e+00 3.903e-10
6.962e+02 1.000e+00 3.903e-10
6.976e+02 1.000e+00 3.903e-10
6.990e+02 1.000e+00 3.903e-10
7.004e+02 1.000e+00 3.902e-10
7.018e+02 1.000e+00 3.901e-10
7.032e+02 1.000e+00 3.900e-10
7.046e+02 1.000e+00 3.898e-10
7.060e+02 1.000e+00 3.895e-10
7.074e+02 1.000e+00 3.892e-10
7.088e+02 1.000e+00 3.889e-10
7.102e+02 1.000e+00 3.885e-10
7.116e+02 1.000e+00 3.881e-10
7.130e+02 1.000e+00 3.877e-10
7.144e+02 1.000e+00 3.872e-10
7.158e+02 1.000e+00 3.867e-10
7.172e+02 1.000e+00 3.862e-10
7.186e+02 1.000e+00 3.856e-10
7.200e+02 1.000e+00 3.851e-10
7.214e+02 1.000e+00 3.845e-10
7.228e+02 1.000e+00 3.839e-10
7.242e+02 1.000e+00 3.832e-10
7.256e+02 1.000e+00 3.826e-10
7.270e+02 1.000e+00 3.820e-10
7.284e+02 1.000e+00 3.814e-10
7.298e+02 1.000e+00 3.808e-10
7.312e+02 1.000e+00 3.802e-10
7.326e+02 1.000e+00 3.796e-10
7.340e+02 1.000e+00 3.790e-10
7.354e+02 1.000e+00 3.785e-10
7.368e+02 1.000e+00 3.779e-10
7.382e+02 1.000e+00 3.773e-10
7.396e+02 1.000e+00 3.768e-10
7.410e+02 1.000e+00 3.762e-10
7.424e+02 1.000e+00 3.756e-10
7.438e+02 1.000e+00 3.749e-10
7.452e+02 1.000e+00 3.743e-10
7.466e+02 1.000e+00 3.737e-10
7.480e+02 1.000e+00 3.731e-10
7.494e+02 1.000e+00 3.726e-10
7.508e+02 1.000e+00 3.720e-10
7.522e+02 1.000e+00 3.715e-10
7.536e+02 1.000e+00 3.710e-10
7.550e+02 1.000e+00 3.705e-10
7.564e+02 1.000e+00 3.701e-10
7.578e+02 1.000e+00 3.697e-10
7.592e+02 1.000e+00 3.693e-10
7.606e+02 1.000e+00 3.690e-10
7.620e+02 1.000e+00 3.688e-10
7.634e+02 1.000e+00 3.686e-10
7.648e+02 1.000e+00 3.684e-10
7.662e+02 1.000e+00 3.683e-10
7.676e+02 1.000e+00 3.683e-10
7.690e+02 1.000e+00 3.683e-10
7.704e+02 1.000e+00 3.684e-10
7.718e+02 1.000e+00 3.685e-10
7.732e+02 1.000e+00 3.687e-10
7.746e+02 1.000e+00 3.690e-10
7.760e+02 1.000e+00 3.693e-10
7.774e+02 1.000e+00 3.698e-10
7.788e+02 1.000e+00 3.703e-10
-7.793e+02 1.000e+00 3.708e-10
-7.779e+02 1.000e+00 3.715e-10
-7.765e+02 1.000e+00 3.722e-10
-7.751e+02 1.000e+00 3.730e-10
-7.737e+02 1.000e+00 3.738e-10
-7.723e+02 1.000e+00 3.747e-10
-7.709e+02 1.000e+00 3.756e-10
-7.695e+02 1.000e+00 3.765e-10
-7.681e+02 1.000e+00 3.774e-10
-7.667e+02 1.000e+00 3.784e-10
-7.653e+02 1.000e+00 3.794e-10
-7.639e+02 1.000e+00 3.804e-10
-7.625e+02 1.000e+00 3.815e-10
-7.611e+02 1.000e+00 3.826e-10
-7.597e+02 1.000e+00 3.838e-10
-7.583e+02 1.000e+00 3.850e-10
-7.569e+02 1.000e+00 3.863e-10
-7.555e+02 1.000e+00 3.877e-10
-7.541e+02 1.000e+00 3.891e-10
-7.527e+02 1.000e+00 3.906e-10
-7.513e+02 1.000e+00 3.922e-10
-7.499e+02 1.000e+00 3.938e-10
-7.485e+02 1.000e+00 3.955e-10
-7.471e+02 1.000e+00 3.973e-10
-7.457e+02 1.000e+00 3.991e-10
-7.443e+02 1.000e+00 4.010e-10
-7.429e+02 1.000e+00 4.030e-10
-7.415e+02 1.000e+00 4.050e-10
-7.401e+02 1.000e+00 4.072e-10
-7.387e+02 1.000e+00 4.094e-10
-7.373e+02 1.000e+00 4.117e-10
-7.359e+02 1.000e+00 4.141e-10
-7.345e+02 1.000e+00 4.166e-10
-7.331e+02 1.000e+00 4.192e-10
-7.317e+02 1.000e+00 4.219e-10
-7.303e+02 1.000e+00 4.247e-10
-7.289e+02 1.000e+00 4.276e-10
-7.275e+02 1.000e+00 4.307e-10
-7.261e+02 1.000e+00 4.338e-10
-7.247e+02 1.000e+00 4.370e-10
-7.233e+02 1.000e+00 4.404e-10
-7.219e+02 1.000e+00 4.438e-10
-7.205e+02 1.000e+00 4.474e-10
-7.191e+02 1.000e+00 4.511e-10
-7.177e+02 1.000e+00 4.549e-10
-7.163e+02 1.000e+00 4.588e-10
-7.149e+02 1.000e+00 4.628e-10
-7.135e+02 1.000e+00 4.670e-10
-7.121e+02 1.000e+00 4.712e-10
-7.107e+02 1.000e+00 4.756e-10
-7.093e+02 1.000e+00 4.801e-10
-7.079e+02 1.000e+00 4.847e-10
-7.065e+02 1.000e+00 4.895e-10
-7.051e+02 1.000e+00 4.943e-10
-7.037e+02 1.000e+00 4.993e-10
-7.023e+02 1.000e+00 5.044e-10
-7.009e+02 1.000e+00 5.096e-10
-6.995e+02 1.000e+00 5.149e-10
-6.981e+02 1.000e+00 5.204e-10
-6.967e+02 1.000e+00 5.259e-10
-6.953e+02 1.000e+00 5.316e-10
-6.939e+02 1.000e+00 5.374e-10
-6.925e+02 1.000e+00 5.433e-10
-6.911e+02 1.000e+00 5.493e-10
-6.897e+02 1.000e+00 5.554e-10
-6.883e+02 1.000e+00 5.616e-10
-6.869e+02 1.000e+00 5.679e-10
-6.855e+02 1.000e+00 5.744e-10
-6.841e+02 1.000e+00 5.809e-10
-6.827e+02 1.000e+00 5.876e-10
-6.813e+02 1.000e+00 5.943e-10
-6.799e+02 1.000e+00 6.011e-10
-6.785e+02 1.000e+00 6.081e-10
-6.771e+02 1.000e+00 6.151e-10
-6.757e+02 1.000e+00 6.222e-10
-6.743e+02 1.000e+00 6.294e-10
-6.729e+02 1.000e+00 6.367e-10
-6.715e+02 1.000e+00 6.440e-10
-6.701e+02 1.000e+00 6.515e-10
-6.687e+02 1.000e+00 6.590e-10
-6.673e+02 1.000e+00 6.666e-10
-6.659e+02 1.000e+00 6.743e-10
-6.645e+02 1.000e+00 6.820e-10
-6.631e+02 1.000e+00 6.898e-10
-6.617e+02 1.000e+00 6.976e-10
-6.603e+02 1.000e+00 7.055e-10
-6.589e+02 1.000e+00 7.135e-10
-6.575e+02 1.000e+00 7.215e-10
